,mean_acc,std_dev_acc,batch_size,epochs
0,0.7847499847,0.0018500090000000001,16,10
1,0.8574499786,0.0001499951,16,50
2,0.8916999996,0.0028999746000000002,16,150
3,0.8612499833,0.0029500127,64,50
4,0.9284000099,0.0028000176,64,150
5,0.94205001,0.0031500161000000003,64,300
6,0.8259000182,0.0067999959,512,50
7,0.9544999897,0.0002000034,512,300
8,0.9642499983,0.0051499903,512,500
9,0.847299993,0.0011000037,1024,100
10,0.9627500176,0.0010499954,1024,500
11,0.9707500041,0.0019499958,1024,1000
12,0.8967500031000001,0.0010500252,2048,250
13,0.9505999982000001,0.0025000274000000003,2048,500
14,0.9711999893000001,0.0011000037,2048,1250
